Passenger_ID,Sex,Age,Occupation,Frequent Flier
1,M,54,Doctor,No
2,M,40,Teaching,Yes
3,F,35,Doctor,No
4,F,46,Home Maker,Yes
5,F,71,Service,Yes
6,M,19,Service,Yes
7,F,58,Doctor,Yes
8,F,7,Service,No
9,F,20,Service,No
10,F,47,Service,Yes
11,F,68,Home Maker,Yes
12,M,24,Business,Yes
13,M,13,Teaching,No
14,F,26,Service,Yes
15,F,40,Teaching,No
16,M,3,Home Maker,Yes
17,F,28,Service,No
18,M,5,Doctor,No
19,F,37,Teaching,No
20,M,6,Business,No
21,F,60,Business,No
22,F,46,Teaching,No
23,F,52,Business,No
24,F,6,Home Maker,Yes
25,M,39,Doctor,No
26,F,53,Home Maker,No
27,F,13,Doctor,Yes
28,M,32,Teaching,No
29,M,74,Service,No
30,F,33,Teaching,No
31,M,48,Teaching,No
32,M,46,Teaching,Yes
33,M,21,Teaching,No
34,F,67,Doctor,No
35,M,70,Business,Yes
36,F,1,Doctor,No
37,M,26,Business,No
38,M,50,Doctor,No
39,F,14,Doctor,No
40,F,20,Teaching,Yes
41,F,67,Business,No
42,M,63,Service,No
43,F,19,Service,No
44,F,67,Service,No
45,F,23,Home Maker,Yes
46,F,24,Service,No
47,M,21,Business,No
48,M,46,Service,Yes
49,F,67,Service,No
50,M,28,Business,No
51,F,39,Home Maker,Yes
52,M,80,Teaching,Yes
53,M,69,Home Maker,No
54,F,56,Business,Yes
55,F,25,Teaching,Yes
56,M,11,Doctor,No
57,M,9,Home Maker,No
58,F,72,Home Maker,Yes
59,M,7,Doctor,Yes
60,M,73,Service,Yes
61,F,30,Business,Yes
62,F,6,Home Maker,No
63,M,79,Home Maker,No
64,M,14,Teaching,Yes
65,M,69,Business,Yes
66,M,50,Home Maker,No
67,M,38,Teaching,Yes
68,F,29,Doctor,Yes
69,M,28,Home Maker,Yes
70,F,41,Doctor,Yes
71,F,0,Doctor,No
72,F,19,Teaching,No
73,F,75,Service,Yes
74,F,28,Teaching,Yes
75,F,21,Home Maker,Yes
76,M,67,Service,Yes
77,M,42,Doctor,No
78,F,4,Teaching,Yes
79,M,11,Doctor,Yes
80,M,81,Teaching,No
81,F,14,Business,Yes
82,M,68,Business,No
83,F,23,Business,No
84,M,54,Doctor,Yes
85,F,52,Doctor,Yes
86,M,80,Doctor,Yes
87,M,30,Home Maker,Yes
88,F,5,Doctor,Yes
89,M,34,Home Maker,Yes
90,M,55,Business,No
91,F,6,Doctor,No
92,F,43,Home Maker,Yes
93,F,0,Teaching,No
94,F,71,Service,No
95,M,27,Home Maker,Yes
96,M,54,Service,Yes
97,F,65,Teaching,Yes
98,F,77,Service,Yes
99,F,79,Business,Yes
100,F,24,Teaching,No
101,F,8,Business,No
102,M,24,Business,No
103,M,24,Service,Yes
104,M,36,Home Maker,Yes
105,F,45,Teaching,No
106,M,6,Doctor,No
107,M,17,Service,No
108,M,80,Home Maker,Yes
109,F,45,Service,Yes
110,M,10,Service,Yes
111,F,75,Home Maker,Yes
112,M,11,Teaching,No
113,F,13,Doctor,No
114,F,61,Teaching,Yes
115,F,45,Teaching,Yes
116,F,10,Business,Yes
117,M,73,Business,No
118,M,49,Business,No
119,F,28,Home Maker,No
120,F,42,Teaching,Yes
121,F,20,Teaching,Yes
122,F,49,Home Maker,Yes
123,F,18,Teaching,Yes
124,F,54,Home Maker,No
125,M,62,Business,Yes
126,M,53,Teaching,Yes
127,M,19,Teaching,Yes
128,F,66,Home Maker,Yes
129,M,68,Service,No
130,F,49,Doctor,No
131,M,68,Doctor,Yes
132,M,5,Teaching,Yes
133,M,41,Teaching,No
134,F,59,Business,Yes
135,M,18,Service,Yes
136,F,14,Service,Yes
137,M,13,Teaching,No
138,F,61,Teaching,No
139,M,45,Home Maker,No
140,M,82,Teaching,No
141,F,61,Business,Yes
142,M,51,Home Maker,Yes
143,M,80,Teaching,Yes
144,M,37,Doctor,No
145,F,64,Doctor,No
146,F,34,Business,Yes
147,M,51,Service,Yes
148,M,48,Doctor,No
149,M,27,Home Maker,Yes
150,F,53,Teaching,No
151,M,56,Business,No
152,F,24,Teaching,Yes
153,M,30,Service,No
154,M,75,Home Maker,No
155,F,45,Home Maker,Yes
156,M,25,Home Maker,No
157,F,59,Business,No
158,M,29,Home Maker,Yes
159,M,11,Service,Yes
160,M,49,Doctor,Yes
161,F,29,Home Maker,No
162,F,44,Service,Yes
163,M,73,Business,No
164,F,55,Home Maker,No
165,F,61,Doctor,No
166,F,45,Service,Yes
167,F,35,Service,Yes
168,F,78,Service,No
169,F,46,Doctor,Yes
170,M,14,Doctor,No
171,F,64,Home Maker,No
172,M,13,Doctor,Yes
173,M,9,Business,No
174,F,28,Doctor,Yes
175,M,76,Service,No
176,F,39,Service,No
177,M,70,Home Maker,No
178,F,54,Service,Yes
179,F,6,Teaching,No
180,F,43,Service,Yes
181,F,25,Doctor,No
